metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1787962272.4324,elite,159.57059868104,1785094794.4636,AS44558 Netonline Bilisim Sirketi LTD,NETONLINE,Kyrenia,Europe,EU,Cyprus,CY,,False,Netonline Bilisim Sirketi LTD,35.3456,33.316,False,Netonline Bilisim Sirketi LTD,True,Keryneia,success,Asia/Famagusta,9930,1788723412,1789309202.7621,80,http,94.78.67.171:80,False,151.7870426178,75096,4,99.994673768309,94.78.67.171
True,1789309202.5008,elite,552.99765323429,1789170335.2097,AS26832 Rica Web Services,RICAWEBSERVICES,Montreal,North America,,Canada,CA,,False,Rica Web Services,45.5075,-73.5887,False,Rica Web Services,False,Quebec,success,America/Toronto,H3H,1789168531,1789309202.5008,1080,socks5,38.102.125.24:1080,True,552.9580116272,963,1171,45.126522961575,38.102.125.24
True,1789309178.0349,elite,4473.8996991411,1783889045.5063,AS31898 Oracle Corporation,ORACLE-BMC-31898,Stockholm,Europe,EU,Sweden,SE,,True,Oracle Corporation,59.3294,18.0687,False,Oracle Cloud Infrastructure (eu-stockholm-1),True,Stockholm,success,Europe/Stockholm,,1788726807,1789309202.4787,1080,socks4,79.76.52.220:1080,True,117.59757995605,52221,151775,25.599031353556,79.76.52.220
True,1789309202.1579,elite,3339.8603912889,1776084854.842,AS142386 PT JARINGAN LINTAS ARTHA,AZNET-ID,Karangampel,Asia,AS,Indonesia,ID,,False,AZNET,-6.46222,108.452,False,,True,West Java,success,Asia/Jakarta,,1788784922,1789309202.1579,1080,socks4,103.172.71.204:1080,True,929.08787727356,258665,314169,45.155315501524,103.172.71.204
True,1789222905.6509,elite,1746.7989125665,1776079438.2458,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Cincinnati,North America,,United States,US,,False,Cincinnati Bell Telephone Company LLC,39.2607,-84.4111,False,Altafiber,True,Ohio,success,America/New_York,45241,1788781487,1789309202.0648,41679,socks5,66.42.224.229:41679,True,1126.0597705841,312181,787,99.7485365916,66.42.224.229
True,1789288503.4696,elite,2244.8300183792,1776079665.9548,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Macon,North America,,United States,US,,False,Cox Communications Inc.,32.8407,-83.6324,False,Cox Communications Inc.,True,Georgia,success,America/New_York,31202,1788780908,1789309202.0527,4145,socks5,184.182.240.12:4145,True,1189.0647411346,310486,1481,99.525270301025,184.182.240.12
True,1789252105.4107,elite,1116.2754333304,1785885117.5884,AS17252 Colocation America Corporation,AS2-COLOAM,Los Angeles,North America,,United States,US,,True,Colocation America Corporation,34.0549,-118.243,False,T3 Web Hosting,True,California,success,America/Los_Angeles,90009,1788906624,1789309201.96,8081,http,67.203.23.88:8081,False,332.599401474,62710,48,99.923515727079,67.203.23.88
True,1789309133.1922,elite,2726.6974893859,1789276712.6539,AS62240 Clouvider,Clouvider,Ashburn,North America,,United States,US,,False,Clouvider Limited,39.0437,-77.4874,False,BV Na27,False,Virginia,success,America/New_York,,1789276102,1789309201.8812,1080,socks4,45.86.230.45:1080,True,1523.5779285431,2108,545,79.457218243498,45.86.230.45
True,1789309150.0809,elite,3545.8610336716,1697008078.3361,AS131293 TOT Public Company Limited,TOT-LLI-AS-AP,Bangkok,Asia,AS,Thailand,TH,,False,TOT Public Company Limited,13.7499,100.517,False,TOT Public Company Limited,True,Bangkok,success,Asia/Bangkok,10200,1788785745,1789309201.8541,31225,socks4,1.179.172.45:31225,True,943.41135025024,375959,1075265,25.906338373676,1.179.172.45
True,1789309200.0087,elite,1266.6704049317,1780940342.1291,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Jakarta,Asia,AS,Indonesia,ID,,True,"Alibaba (US) Technology Co., Ltd.",-6.2114,106.8446,False,Alibaba.com Singapore E-Commerce Private Limited,True,Jakarta,success,Asia/Jakarta,12850,1788799793,1789309201.8474,2080,socks5,8.215.25.3:2080,True,1023.6358642578,88310,69665,55.901250197816,8.215.25.3
True,1789301734.0127,elite,280.95174880255,1789062685.6803,AS213535 YottaSrc,YOTTASRC,New York,North America,,United States,US,,True,YottaSrc,40.6063,-74.1774,False,YottaSrc,False,New York,success,America/New_York,10311,1789062686,1789309201.828,80,http,45.91.248.107:80,False,315.10472297668,4200,56,98.684210526316,45.91.248.107
True,1789309095.8244,elite,4139.6486975635,1766489694.3564,"AS23673 Cogetel Online, Cambodia, ISP",ONLINE-AS,Phnom Penh,Asia,AS,Cambodia,KH,,False,COGETEL Co,11.5583,104.9121,False,,True,Phnom Penh,success,Asia/Phnom_Penh,,1789128382,1789309201.5443,1080,socks5,110.235.240.223:1080,True,1462.3701572418,78721,113178,41.022100167275,110.235.240.223
True,1789309201.5399,elite,4110.9848132805,1776078189.937,AS149718 PT Satunol Digital Teknologi,BINERI-AS-ID,Somba,Asia,AS,Indonesia,ID,,False,SinergiNet,-3.3772,118.848,False,,True,West Sulawesi,success,Asia/Makassar,,1789000150,1789309201.5399,8199,socks5,223.25.109.146:8199,True,1564.8562908173,24569,35504,40.89857340236,223.25.109.146
True,1789309140.6649,elite,3400.5800024969,1776087355.4062,AS13489 UNE EPM TELECOMUNICACIONES S.A.,UNE EPM TELECOMUNICACIONES S.A.,Floridablanca,South America,SA,Colombia,CO,,False,EPM Telecomunicaciones S.A. E.S.P.,7.0595,-73.0909,False,Colombia Móvil,True,Santander Department,success,America/Bogota,681001,1788786673,1789309201.5091,53740,socks4,181.204.39.202:53740,True,886.66248321533,290391,305416,48.739105112897,181.204.39.202
True,1789309201.44,elite,817.86676845156,1776078777.7408,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1788779126,1789309201.44,4145,socks4,192.111.129.150:4145,True,768.03231239319,265836,309305,46.221013629701,192.111.129.150
True,1789309090.1615,elite,5949.4986642491,1789283701.2759,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1789281169,1789309201.2242,9665,socks5,45.74.31.30:9665,True,2105.7138442993,22,168,11.578947368421,45.74.31.30
True,1789309163.5907,elite,3694.0463701321,1783292980.644,AS7303 Telecom Argentina S.A.,Telecom Argentina S.A.,Córdoba,South America,SA,Argentina,AR,,False,Telecom Argentina S.A,-31.4057,-64.1849,False,Fibertel,True,Cordoba,success,America/Argentina/Cordoba,5000,1788732826,1789309200.8812,4145,socks4,186.138.177.33:4145,True,1218.1158065796,119441,158060,43.041646696769,186.138.177.33
True,1789309182.0513,elite,3156.8369530802,1711865704.237,AS203214 Hulum Almustakbal Company for Communication Engineering and Services Ltd,HulumTele,Baghdad,Asia,AS,Iraq,IQ,,False,Hulum,33.3406,44.4009,False,EarthLink Ltd. Communications&,True,Baghdad,success,Asia/Baghdad,,1789309062,1789309200.7609,51372,socks4,109.224.22.34:51372,True,353.32417488098,108257,899562,10.741710565092,109.224.22.34
True,1789309200.7451,elite,3478.2043517707,1710550794.5099,AS18403 FPT Telecom Company,FPT-VN,Ho Chi Minh City,Asia,AS,Vietnam,VN,,False,FPT Telecom Company,10.822,106.6257,False,Vietnam Internet Network Information Center,True,Ho Chi Minh,success,Asia/Ho_Chi_Minh,700000,1788890389,1789309200.7451,5678,socks4,118.71.99.233:5678,True,2184.3042373657,269720,1013930,21.011958088264,118.71.99.233
True,1789309071.7711,elite,3815.3497902072,1786848931.4533,AS4812 China Telecom (Group),CHINANET-SH-AP,Shanghai,Asia,AS,China,CN,,False,China Telecom (Group),31.2222,121.4581,False,Chinanet SH,True,Shanghai,success,Asia/Shanghai,,1789266508,1789309200.6491,1080,socks4,116.232.80.133:1080,True,2026.5905857086,57515,65644,46.699794574493,116.232.80.133
True,1789309200.4768,elite,2644.6630203708,1696965082.3759,AS205352 KABELNET LTD,kblnet,Opaka,Europe,EU,Bulgaria,BG,,False,Kabelnet LTD,43.45,26.1667,False,Global Communication Net Plc,True,Targovishte,success,Europe/Sofia,7840,1788744014,1789309200.4768,4145,socks4,109.160.97.49:4145,True,1293.6573028564,286438,1151129,19.925193051872,109.160.97.49
True,1789309187.234,elite,3341.5999078713,1786310501.3193,"AS135375 Today Communication Co.,Ltd",TCC-AS-AP,Phnom Penh,Asia,AS,Cambodia,KH,,False,Today Communication Co,11.5448,104.8921,False,,True,Phnom Penh,success,Asia/Phnom_Penh,12308,1788726870,1789309200.4513,1080,socks4,103.216.50.210:1080,True,990.80181121826,89757,70523,56.000124781632,103.216.50.210
True,1789309175.5279,elite,3554.6767695608,1710565982.0211,AS3786 LG DACOM Corporation,LGDACOM,Daejeon,Asia,AS,South Korea,KR,Gyeryong-ro,False,LG DACOM KIDC,36.3461,127.375,False,plannix,True,Daejeon,success,Asia/Seoul,34178,1788817845,1789309200.3956,60984,socks4,114.108.177.104:60984,True,2145.6792354584,427862,950279,31.046315289945,114.108.177.104
True,1789309186.613,elite,3560.5915235934,1712385570.2633,"AS45582 VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",VAINAVIINDUSTRIESLTD-IN,Guntur,Asia,AS,India,IN,,False,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",16.3007,80.4639,False,Vainavi Industries Ltd,True,Andhra Pradesh,success,Asia/Kolkata,522509,1788891423,1789309200.3505,4153,socks4,119.235.49.121:4153,True,1745.4917430878,94703,878035,9.7357150640769,119.235.49.121
