alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788718568.5809,elite,8117.6443644415,1786784900.8713,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1788598279,1788718975.2636,10931,socks4,111.119.162.248:10931,true,1122.0252513885,39011,40269,49.206609485368,111.119.162.248
true,1788718874.7928,elite,283.5178824338,1788145825.0848,"AS15924 Vodafone Net Iletisim Hizmetler AS",BORUSANTELEKOM-AS,Bursa,Asia,AS,Türkiye,TR,,false,"Vodafone Net Iletisim Hizmetler AS",40.1925,29.0587,false,Jogcorp,false,"Bursa Province",success,Europe/Istanbul,16350,1788142540,1788718975.2257,1080,socks5,91.232.103.17:1080,true,232.88822174072,1376,6988,16.451458632233,91.232.103.17
true,1788718203.2065,elite,334.45002303005,1788466562.0526,"AS140641 YOTTA NETWORK SERVICES PRIVATE LIMITED",YOTTA,Mumbai,Asia,AS,India,IN,,false,"Real Time Data Services Private Limited",19.0748,72.8856,false,"Real Time Data Services Private Limited",false,Maharashtra,success,Asia/Kolkata,410206,1788466383,1788718975.1848,8080,http,45.194.41.176:8080,false,284.05380249023,1686,939,64.228571428571,45.194.41.176
true,1788714834.8105,elite,4400.4253016946,1710545864.1563,"AS57286 GIGAS HOSTING S.A.",ASGIGAS,Alcobendas,Europe,EU,Spain,ES,,true,"Gigas Hosting SL",40.525,-3.65578,false,"Gigas Hosting S.L.",true,Madrid,success,Europe/Madrid,28108,1788345808,1788718975.0701,80,http,195.114.209.50:80,false,118.73912811279,704329,320082,68.754533092675,195.114.209.50
true,1788718171.7761,elite,1375.7565364527,1787506812.7398,"AS138995 Antbox Networks Limited",ANTBOX1-AS-AP,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"Antbox Network Limited",22.3193,114.169,false,"Antbox Network Limited",true,Kowloon,success,Asia/Hong_Kong,999077,1788715849,1788718975.0246,30002,socks5,45.194.33.12:30002,true,1085.1907730103,54880,27,99.950825942047,45.194.33.12
true,1788718975.0137,elite,2128.2927680454,1783197698.5176,"AS9121 Turk Telekomunikasyon Anonim Sirketi",TTNet,Ankara,Asia,AS,Türkiye,TR,,false,"Turk Telekomunikasyon A.S",39.9609,32.907,false,TurkTelecom,true,Ankara,success,Europe/Istanbul,06360,1788640340,1788718975.0137,4153,socks4,88.247.31.164:4153,true,1298.5310554504,118833,135596,46.705760742683,88.247.31.164
true,1788718946.9756,elite,2563.0994541719,1697037700.9485,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1788361847,1788718975.0016,4145,socks4,184.181.217.194:4145,true,784.67488288879,833755,856245,49.334615384615,184.181.217.194
true,1788718935.2801,elite,2701.0021410914,1778936776.5628,"AS25521 Industrial Media Network LLC",AS-IPNET,Kyiv,Europe,EU,Ukraine,UA,,false,IPNETUA,50.458,30.5303,false,,true,"Kyiv City",success,Europe/Kyiv,01001,1788610977,1788718974.875,21003,socks5,82.193.116.160:21003,true,1217.2667980194,88336,78243,53.029493513588,82.193.116.160
true,1788718847.4712,elite,1366.7554465791,1788549302.955,"AS205516 NLS ASTANA LLP",NLS-ASTANA,Astana,Asia,AS,Kazakhstan,KZ,,false,"NLS ASTANA LLP",51.1876,71.4491,false,"Beget LLC",false,Astana,success,Asia/Almaty,010000,1788547704,1788718974.8562,1080,socks5,178.236.16.4:1080,true,992.10405349731,4534,1420,76.150487067518,178.236.16.4
true,1788718888.427,elite,2663.1589501751,1776079625.3933,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1788175871,1788718974.8455,57728,socks5,70.166.167.38:57728,true,1978.1713485718,129413,68346,65.439752425933,70.166.167.38
true,1788717531.1814,elite,2195.4829141715,1788447438.8247,"AS197540 netcup GmbH",netcup-AS,Nuremberg,Europe,EU,Germany,DE,,true,"netcup GmbH",49.4527,11.0783,false,"netcup GmbH",true,Bavaria,success,Europe/Berlin,90403,1788445409,1788718974.7915,8081,socks5,152.53.183.107:8081,true,1286.0851287842,13231,205,98.474248288181,152.53.183.107
true,1788718907.1182,elite,1146.4783938416,1776081926.8012,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1788175179,1788718974.7393,4145,socks5,192.252.216.81:4145,true,1092.7844047546,89016,73704,54.705014749263,192.252.216.81
true,1788718974.7046,elite,4163.8581351658,1776081409.4712,"AS135341 Orange Communication",ORANGE2-AS-AP,Chittagong,Asia,AS,Bangladesh,BD,Kotwali,false,"Md Kamrul Islam",22.3305,91.8177,false,,true,Chittagong,success,Asia/Dhaka,4000,1788177402,1788718974.7046,2025,socks5,103.151.74.29:2025,true,2026.9224643707,32284,106049,23.337887561175,103.151.74.29
true,1788718973.515,elite,3889.1822184213,1788411298.8551,"AS23956 AmberIT Limited",AMBERIT-BD-AS,Sylhet,Asia,AS,Bangladesh,BD,,false,"Amber IT Limited",24.9328,91.8739,false,"Dhakacom Limited",false,"Sylhet Division",success,Asia/Dhaka,3100,1788410446,1788718974.6773,9090,socks5,118.179.102.168:9090,true,1261.9290351868,5883,3713,61.306794497707,118.179.102.168
true,1788718974.6482,elite,2810.5185490892,1697055682.8489,"AS203214 Hulum Almustakbal Company for Communication Engineering and Services Ltd",HulumTele,Baghdad,Asia,AS,Iraq,IQ,,false,Hulum,33.3152,44.3661,false,"EarthLink Ltd. Communications&",true,Baghdad,success,Asia/Baghdad,,1788409529,1788718974.6482,52015,socks4,109.224.12.170:52015,true,399.47748184204,246135,1039631,19.143063356785,109.224.12.170
true,1788718112.2508,elite,5537.3988902123,1710540138.084,"AS328471 HERO TELECOMS (PTY) LTD",Hero-Telecoms,"Cape Town",Africa,AF,"South Africa",ZA,,false,"HERO TELECOMS (PTY) LTD",-33.9258,18.4259,false,Herotel,true,"Western Cape",success,Africa/Johannesburg,7945,1788230822,1788718974.6194,80,http,196.223.129.21:80,false,895.22743225098,224987,421862,34.781997034857,196.223.129.21
true,1788718515.2417,elite,1139.9379022872,1788561912.9934,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",true,"South West",success,Asia/Singapore,627753,1788560647,1788718974.6113,1080,socks5,167.172.85.172:1080,true,928.88259887695,5435,950,85.121378230227,167.172.85.172
true,1788718968.1896,elite,3650.4445577761,1783182031.6347,"AS45899 VNPT Corp",VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,false,"VietNam Post and Telecom Corporation",21.0278,105.834,false,"Vietnam Posts and Telecommunications Group",true,Hanoi,success,Asia/Bangkok,,1788621923,1788718974.5781,5678,socks4,113.166.93.239:5678,true,2205.7485580444,144013,130579,52.446174688265,113.166.93.239
true,1788718974.4341,elite,3414.9750848658,1783181376.5287,"AS262391 ACESSOLINE TELECOMUNICACOES LTDA","ACESSOLINE TELECOMUNICACOES LTDA",Chapecó,"South America",SA,Brazil,BR,,false,"Acessoline Telecomunicacoes Ltda",-27.1214,-52.6604,false,"Acessoline Telecomunicacoes Ltda",true,"Santa Catarina",success,America/Sao_Paulo,89800,1788621850,1788718974.4341,5432,socks4,190.89.104.76:5432,true,1107.4068546295,106447,142471,42.763882081649,190.89.104.76
true,1788718879.7244,elite,2697.1368546691,1776086152.1818,"AS197897 5KOM OOD",PETKOM,Pleven,Europe,EU,Bulgaria,BG,,false,5KOM,43.4126,24.6089,false,,true,Pleven,success,Europe/Sofia,5800,1788181634,1788718974.4002,8192,socks5,31.211.142.115:8192,true,1454.6949863434,70646,94395,42.805121151714,31.211.142.115
true,1788718918.4365,elite,2872.26252831,1787306328.3305,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,true,"First Server Limited",55.7487,37.6187,false,"FIRST SERVER, SOCIEDAD LIMITADA",true,Moscow,success,Europe/Moscow,101000,1788512968,1788718974.3488,10808,socks5,45.95.202.92:10808,true,1517.972946167,8512,18320,31.723315444246,45.95.202.92
true,1788718974.2916,elite,3192.4444630143,1786979759.5505,"AS4134 CHINANET BACKBONE",CHINANET-BACKBONE,Liuzhou,Asia,AS,China,CN,,false,Chinanet,24.3255,109.415,false,"Chinanet GX",false,Guangxi,success,Asia/Shanghai,545000,1788189213,1788718974.2916,9009,socks5,180.141.88.241:9009,true,1478.1978130341,10034,24155,29.34862090146,180.141.88.241
true,1788691705.2444,elite,1237.1152736349,1788387325.8632,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",false,"South West",success,Asia/Singapore,627753,1788386012,1788718974.2155,1080,socks5,157.245.159.157:1080,true,979.19678688049,12109,2056,85.48535121779,157.245.159.157
true,1788707045.2848,transparent,751.76653670398,1787586387.9225,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Alibaba (US) Technology Co., Ltd.",1.35208,103.82,false,"Alibaba.com LLC",false,"North West",success,Asia/Singapore,858877,1788190524,1788718974.0906,3128,http,43.98.172.166:3128,true,388.99374008179,19588,469,97.661664256868,43.98.172.166
true,1788718974.0835,elite,3355.5401329099,1710540184.6577,"AS6057 Administracion Nacional de Telecomunicaciones","Administracion Nacional de Telecomunicaciones",Montevideo,"South America",SA,Uruguay,UY,,false,"Administracion Nacional de Telecomunicaciones",-34.9087,-56.1539,false,"Cliente Antel Uruguay",true,"Montevideo Department",success,America/Montevideo,11300,1788646266,1788718974.0835,4153,socks4,179.27.86.36:4153,true,1147.0539569855,265885,927934,22.271801671778,179.27.86.36
true,1788677141.6358,elite,1192.4445224662,1788425586.3928,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",false,"South West",success,Asia/Singapore,627753,1788425233,1788718974.051,1080,socks5,167.172.87.244:1080,true,977.98490524292,11041,1656,86.957549027329,167.172.87.244
true,1788718973.756,elite,789.89489533449,1788501660.1733,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7964,-74.0203,false,"DigitalOcean, LLC",false,"New Jersey",success,America/New_York,07047,1788498749,1788718974.0089,10000,socks4,159.223.139.31:10000,true,434.3535900116,6271,5840,51.779374122698,159.223.139.31
true,1788718941.4824,elite,2955.3654078273,1788563935.3164,"AS203087 Fedinyak Sergey Vyacheslavovich",gohost-KZ,Karaganda,Asia,AS,Kazakhstan,KZ,,true,"PE Fedinyak Sergey Vyacheslavovich",49.7989,73.0994,false,"PE Fedinyak Sergey Vyacheslavovich",false,Karaganda,success,Asia/Almaty,,1788562670,1788718973.9591,1080,socks5,46.8.43.28:1080,true,714.83397483826,1756,1542,53.244390539721,46.8.43.28
true,1788718942.1676,elite,2665.5817833006,1788379386.8744,"AS48347 JSC Mediasoft ekspert",MTW-AS,Korolyov,Europe,EU,Russia,RU,,false,"JSC Mediasoft ekspert",55.9155,37.8263,false,"MT FINANCE LLC",false,"Moscow Oblast",success,Europe/Moscow,141070,1788376366,1788718973.9447,1080,socks5,195.133.197.14:1080,true,542.21129417419,3226,4789,40.249532127261,195.133.197.14
true,1788718955.057,elite,9039.8810184241,1788096845.9355,"AS25184 Afranet",AFRANET,Tehran,Asia,AS,Iran,IR,,false,Afranet,35.7331,51.4422,false,Afranet,true,Tehran,success,Asia/Tehran,,1788700191,1788718973.7049,9910,socks4,78.109.200.168:9910,true,3103.3885478973,32492,10559,75.473275882093,78.109.200.168
true,1788677107.5139,elite,1187.1253289122,1788498688.9591,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",false,"South West",success,Asia/Singapore,627753,1788495539,1788718973.7005,1080,socks5,146.190.94.105:1080,true,931.49709701538,7687,1417,84.435413005272,146.190.94.105
true,1788718730.1284,elite,1173.4648350051,1788424929.6689,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",false,"Grand Est",success,Europe/Paris,67630,1788423812,1788718973.6482,1080,socks5,169.58.97.115:1080,true,38.198232650757,8521,2410,77.952611837892,169.58.97.115
true,1788718951.4638,elite,8757.112202736,1788151727.5214,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,InternetXS,false,Arizona,success,America/Phoenix,85001,1788150057,1788718973.6241,30041,socks5,174.138.162.37:30041,true,3261.449098587,416,4409,8.6217616580311,174.138.162.37
true,1788718973.5778,elite,3690.8480647706,1787595027.0601,"AS24086 Viettel Corporation",VIETTEL-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,false,"Viettel Group",21.0278,105.834,false,VIETTEL,false,Hanoi,success,Asia/Bangkok,,1788198627,1788718973.5778,1080,socks5,116.103.251.241:1080,true,1188.2617473602,16860,14253,54.189567062,116.103.251.241
true,1788718929.5911,elite,1334.9767225103,1788273143.8163,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",false,"South West",success,Asia/Singapore,627753,1788271507,1788718973.5419,1080,socks5,165.22.243.171:1080,true,933.3667755127,16875,2596,86.66735144574,165.22.243.171
true,1788718854.317,elite,3193.8610678381,1696966444.466,"AS14754 TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA","TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA","San Pedro Sula","North America",NA,Honduras,HN,,false,"TELECOMUNICACIONES DE GUATEMALA, SOCIEDAD ANONIMA",15.4967,-88.0338,true,"SERCOM de Honduras",true,"Cortés Department",success,America/Tegucigalpa,,1788568119,1788718973.5146,5678,socks4,181.115.75.102:5678,true,1746.5584278107,259897,1019962,20.306690033824,181.115.75.102
true,1788718957.7762,elite,4075.7158613632,1776086316.2971,"AS139628 Mega Truenet Communication Co., Ltd.",MEGATRUENET-AS-AP,"Phnom Penh",Asia,AS,Cambodia,KH,,false,"Mega Truenet Communication Co., Ltd.",11.5583,104.9121,false,"Mega Truenet Communication Co., Ltd",true,"Phnom Penh",success,Asia/Phnom_Penh,,1788183180,1788718973.5114,1080,socks5,111.67.103.90:1080,true,1295.037984848,72909,94516,43.547259967149,111.67.103.90
true,1788718931.421,elite,2341.2799724037,1776087115.3477,"AS43940 Drustvo za telekomunikacije ""MTEL"" DOO",MTEL-AS,Podgorica,Europe,EU,Montenegro,ME,,false,"Drustvo za telekomunikacije ""MTEL"" DOO",42.4411,19.2632,false,"FTTH Users Podgorica AZ",true,Podgorica,success,Europe/Podgorica,,1788181909,1788718973.4294,48293,socks4,109.72.100.113:48293,true,196.86770439148,281875,281505,50.032837516419,109.72.100.113
true,1788718877.6104,elite,916.30368613587,1784844971.3799,"AS20081 NET2ATLANTA.COM LLC",NET2ATLANTA,Atlanta,"North America",NA,"United States",US,,false,"NET2ATLANTA.COM LLC",33.7838,-84.4455,false,"NET2ATLANTA.COM LLC",true,Georgia,success,America/New_York,30318,1788472231,1788718973.2108,4145,socks4,199.66.183.251:4145,true,1776.1423587799,317168,2529,99.208938463608,199.66.183.251
true,1788685914.7614,elite,626.88604894902,1787295615.9746,"AS400859 EXO BROADBAND",EXO-BROADBAND,Queens,"North America",NA,"United States",US,,false,"EXO BROADBAND",40.723,-73.8483,false,"EXO BROADBAND",true,"New York",success,America/New_York,11427,1788502879,1788718973.0795,3128,http,199.7.149.96:3128,true,202.876329422,24820,724,97.165674913874,199.7.149.96
true,1788718928.0607,elite,3935.5082736013,1788314007.3409,"AS215590 DpkgSoft International Limited",XORA-AS,Helsinki,Europe,EU,Finland,FI,,true,"DpkgSoft International Limited",60.1699,24.9384,false,"Xorek.Cloud Helsinki",false,Uusimaa,success,Europe/Helsinki,00121,1788312873,1788718973.0712,1080,socks5,31.76.50.159:1080,true,2170.5393791199,7650,5103,59.985885673959,31.76.50.159
true,1788718957.8233,elite,3132.3540624057,1786404675.3707,"AS197882 Tarin General Trading and Setting Up Internet Device LTD",Tarin,Erbil,Asia,AS,Iraq,IQ,,false,"Tarin General Trading and Setting Up Internet Device LTD",36.1898,44.0157,false,,false,"Erbil Governorate",success,Asia/Baghdad,,1788216960,1788718973.0249,1080,socks4,159.255.164.163:1080,true,1480.4909229279,44657,59057,43.05783211524,159.255.164.163
true,1788718920.5339,elite,3314.5510075963,1787473006.3799,"AS262241 COOPERATIVA DE ELECTRIFICACION RURAL DE ALFARO RUIZ R.L.","COOPERATIVA DE ELECTRIFICACION RURAL DE ALFARO RUIZ R.L.",Zarcero,"North America",NA,"Costa Rica",CR,,false,"Cooperativa De Electrificacion Rural De Alfaro Ruiz R.L.",10.1863,-84.382,false,"Cooperativa De Electrificacion Rural De Alfaro Ruiz R.L",true,"Alajuela Province",success,America/Costa_Rica,21101,1788680617,1788718973.0233,50000,socks4,190.113.249.14:50000,true,864.63642120361,27263,34529,44.120598135681,190.113.249.14
true,1788718972.9772,elite,3569.0320582117,1710540124.3578,"AS137868 Star Internet Service",SIS-AS-AP,Dhaka,Asia,AS,Bangladesh,BD,,false,"Star Internet Service",23.7278,90.4135,false,"Md. Murad Hossain Ripon",true,"Dhaka Division",success,Asia/Dhaka,1000,1788396018,1788718972.9772,36331,socks4,103.115.255.225:36331,true,1004.2886734009,298373,950930,23.883157248482,103.115.255.225
true,1788718946.2163,elite,3720.2316601174,1776088042.8772,"AS14117 Telefonica del Sur S.A.","Telefonica del Sur S.A.",Osorno,"South America",SA,Chile,CL,,false,"Telefonica del Sur S.A",-40.5743,-73.139,false,"SERV. AGRICOLA Y GANADERO",true,"Los Lagos Region",success,America/Santiago,5290000,1788180202,1788718972.913,5678,socks4,190.13.147.241:5678,true,2201.3802528381,263625,294292,47.251652127467,190.13.147.241
true,1788662372.1879,elite,1239.6769455772,1787331488.8366,"AS20081 NET2ATLANTA.COM LLC",NET2ATLANTA,Atlanta,"North America",NA,"United States",US,,false,"NET2ATLANTA.COM LLC",33.7838,-84.4455,false,"NET2ATLANTA.COM LLC",true,Georgia,success,America/New_York,30318,1788541119,1788718972.9081,4145,socks5,199.66.182.232:4145,true,1931.3061237335,62498,61,99.902492047507,199.66.182.232
true,1788718878.5233,elite,3020.9674715526,1784016158.8074,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Phoenix,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.4532,-112.0748,false,"Global Connectivity Solutions LLP",true,Arizona,success,America/Phoenix,85001,1788248109,1788718972.8866,1082,socks4,178.130.47.21:1082,true,684.24296379089,145630,97177,59.977677744052,178.130.47.21
true,1788718972.8841,elite,3196.0779602964,1787808061.815,"AS28252 WorldNet Telecom Comercio e Serviços de Telecomuni","WorldNet Telecom Comercio e Serviços de Telecomuni",Recife,"South America",SA,Brazil,BR,,false,"WorldNet Telecom Comercio e Serviços de Telecomuni",-8.0009,-34.8687,false,"WorldNet Telecom Comercio e Serviços de Telecomuni",true,Pernambuco,success,America/Recife,53000,1788411240,1788718972.8841,5432,socks4,179.189.249.137:5432,true,969.20347213745,18738,25377,42.475348520911,179.189.249.137
true,1788718965.1038,elite,1946.3493486058,1776087983.292,"AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",UCLOUD-HK-AS-AP,"Hong Kong",Asia,AS,"Hong Kong",HK,,true,"UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED",22.3193,114.169,false,"Ucloud Information Technology (hk) Limited",true,Kowloon,success,Asia/Hong_Kong,999077,1788616331,1788718972.8731,10808,socks5,123.58.219.171:10808,true,1133.9657306671,191366,21617,89.850363644047,123.58.219.171
true,1788718942.6994,elite,1113.3117829205,1787813579.0391,"AS7552 Viettel Group",VIETEL-AS-AP,"Ho Chi Minh City",Asia,AS,Vietnam,VN,,false,"Viettel Corporation",10.822,106.6257,false,VIETEL,true,"Ho Chi Minh",success,Asia/Ho_Chi_Minh,700000,1788417625,1788718972.8218,1080,socks4,171.248.220.251:1080,true,1091.5796756744,10336,26131,28.343433789453,171.248.220.251
true,1788685844.4381,elite,771.35389794171,1710541373.1267,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Charlottesville,"North America",NA,"United States",US,,true,"Alibaba.com LLC",37.4316,-78.6569,false,ALICLOUD-US,true,Virginia,success,America/New_York,22902,1788253215,1788718972.7775,3128,http,47.89.184.18:3128,true,218.82200241089,822668,164512,83.33515670901,47.89.184.18
true,1788718465.9471,elite,1129.8454441293,1788233292.7014,"AS8400 TELEKOM SRBIJA a.d.",TELEKOM-AS,Niš,Europe,EU,Serbia,RS,,false,"TELEKOM SRBIJA a.d.",43.3265,21.9023,false,"x PREDUZECE ZA PROIZVODNJU PROJEKTOVANJE INZENJERING I TRGOVINU EKSPORT IMPO x",false,Nišava,success,Europe/Belgrade,,1788230453,1788718972.7616,1090,socks5,93.87.38.20:1090,true,3209.582567215,21511,1461,93.64008358001,93.87.38.20
